QuantumComputerID,UREQADeviation,UREQA++Deviation
4,1.66,1.07
4,5.47,0.97
4,7.13,0.49
1,0.88,1.86
0,4.79,3.22
5,5.47,3.62
4,4.3,0.78
1,0.59,0
1,15.62,6.93
5,1.08,1.07
5,5.67,0.48
4,4.39,0.39
4,10.45,0.48
4,0.88,0.39
4,3.81,2.35
4,0.49,2.93
6,2.25,1.17
6,1.86,0.1
4,12.3,0.98
6,2.93,0.39
4,0.2,0.79
4,1.95,1.07
2,1.18,4.11
5,0.88,0.39
4,1.56,1.17
7,4.59,2.93
2,0,0.59
7,3.71,0.68
4,20.8,0.1
4,3.03,0.29
2,5.86,0.69
4,10.84,2.15
7,0.39,0.29
4,0.88,1.56
7,5.08,0.49
6,2.44,2.73
4,1.86,2.54
5,1.27,0.3
2,8.89,2.73
6,0.78,0
5,6.74,3.51
4,1.76,0.49
6,2.24,0.49
6,0.1,0.49
7,4.49,0.1
2,13.48,3.42
2,2.35,0.49
7,4.49,2.83
4,1.27,11.32
4,27.74,1.46
1,19.33,7.23
5,7.13,0.88
4,0.58,0.68
6,0.78,0.58
4,2.15,2.83
0,6.35,5.47
4,0.39,1.17
2,2.35,1.27
4,0.49,1.27
7,0.78,0.68
4,5.18,0.59
4,2.15,1.76
4,5.47,3.52
6,2.15,1.08
1,13.67,0.68
2,6.74,0.39
4,1.86,2.64
4,1.36,2.05
4,3.81,0.3
5,5.77,4.01
1,1.47,0.88
7,3.91,0.69
1,3.81,0.39
4,2.34,0.19
7,3.8,0.2
1,1.17,0.68
6,2.74,2.05
6,0.3,0.87
4,0,0.88
7,4.39,0.3
1,1.36,1.95
4,1.95,1.95
7,7.81,4.59
2,5.95,0.98
4,1.76,1.95
7,4.4,0.78
4,4.5,2.24
2,1.18,0.1
4,2.24,0.09
1,1.86,1.27
2,5.76,8.11
4,13.09,0.09
5,3.81,1.07
4,4.29,0.29
7,6.74,2.15
2,3.32,1.37
5,1.37,0.2
4,0.87,0.87
4,2.05,1.07
7,3.9,0.78
6,0.59,0.29
1,0.48,2.05
5,1.26,0.09
7,3.42,0.49
1,3.22,2.64
4,5.08,3.61
6,2.24,1.17
2,1.07,0.49
2,1.66,1.76
4,4.2,2.25
5,1.37,0.48
4,25.98,6.74
4,2.05,0.69
4,14.16,3.22
6,1.47,0.4
6,3.12,3.42
4,2.64,2.44
4,6.64,2.93
1,0.88,0.1
4,7.52,6.54
1,12.79,2.83
4,0.1,1.46
6,6.54,0.98
4,4.1,2.15
7,1.46,0.68
1,5.76,5.67
4,0.3,1.08
0,0,0.88
4,0.2,2.25
7,5.57,0.2
4,0.1,0.78
4,3.22,0.78
4,0.97,0.97
6,0.88,0.1
2,6.16,2.63
4,18.85,1.47
7,4.68,0.59
4,24.02,20.21
1,1.95,3.51
4,2.93,3.32
4,0.58,3.12
2,4.68,0.2
4,2.15,0.69
7,3.51,1.17
4,3.9,2.64
7,3.61,3.13
2,21.09,5.86
7,3.91,0.39
2,1.17,4.59
4,4.98,2.83
0,3.72,3.23
5,1.57,0.1
2,3.61,1.17
0,6.94,0
7,2.35,1.17
6,2.84,1.46
1,7.62,1.95
1,4.79,2.93
4,0.68,1.56
4,6.54,0.58
1,0.09,3.13
4,11.23,2.45
4,1.86,1.17
6,0.59,0.1
7,5.86,1.47
0,10.74,3.52
4,0.39,0.88
4,2.15,2.15
7,1.85,1.37
5,6.16,0.58
4,2.15,2.15
4,22.95,0.97
6,2.35,3.22
4,13.28,9.87
2,0,2.93
4,28.42,0.78
4,0.1,1.66
6,3.91,0.1
7,5.08,0.49
7,2.24,1.27
1,1.17,0.88
4,15.14,8.79
0,8.7,0.29
4,0.78,0.78
1,2.35,1.08
5,6.55,0.39
6,2.35,0.09
4,4.1,0.09
6,0,1.07
7,2.35,0.49
5,6.34,0.58
0,5.37,4.59
4,39.35,20.11
7,3.91,0.58
4,1.37,2.83
5,9.67,1.17
4,1.56,0.59
7,3.42,0.1
4,12.11,0.49
2,3.42,0.58
6,0.88,1.27
2,4.79,0.59
5,11.62,7.03
4,1.07,1.85
4,4.5,0.19
4,5.18,0.2
7,0.58,0.19
4,2.93,4.59
1,0.58,0.59
1,12.69,0.39
4,4.59,4.59
2,2.83,1.56
4,4.58,0.68
5,0.97,0.97
4,6.83,0.4
5,0.29,0.1
4,10.25,5.57
5,4.5,2.24
4,5.47,2.44
1,4.49,2.63
4,7.81,2.15
5,8.5,0
5,8.21,0.58
1,12.4,1.95
1,2.53,3.12
7,0.19,0.1
5,0.49,0.49
5,6.54,4.59
4,4.4,4.01
5,6.64,0.1
4,5.56,7.03
0,6.06,0.68
4,16.6,0.29
4,20.02,1.95
6,4.2,0.1
6,3.32,0.49
6,3.12,0.1
1,0.29,3.51
