QuantumComputerID,T1CoherenceTime,T2CoherenceTime,Frequency,OperationID,OneQubitGateErrorRate
4,58.13,49.74,4.95,7,5.57
4,36.36,93.30,5.01,7,0.29
4,8.12,10.92,4.76,7,14.55
4,28.42,50.36,4.97,7,6.54
5,109.29,76.97,4.82,4,-1.95
5,60.88,29.69,4.89,4,6.64
5,94.73,109.59,4.72,4,-7.03
5,82.22,73.60,4.79,4,0.10
5,88.24,29.13,5.02,4,0.10
5,109.29,76.97,4.82,5,-4.30
5,60.88,29.69,4.89,5,-4.39
5,94.73,109.59,4.72,5,-16.60
5,82.22,73.60,4.79,5,-6.35
5,88.24,29.13,5.02,5,-13.57
5,109.29,76.97,4.82,6,-4.10
5,60.88,29.69,4.89,6,-3.71
5,94.73,109.59,4.72,6,-17.38
5,82.22,73.60,4.79,6,-4.39
5,88.24,29.13,5.02,6,-14.16
5,109.29,76.97,4.82,7,0.98
5,60.88,29.69,4.89,7,2.34
5,94.73,109.59,4.72,7,3.52
5,82.22,73.60,4.79,7,2.05
5,88.24,29.13,5.02,7,4.49
6,132.30,16.81,4.80,4,-7.71
6,103.97,105.90,4.94,4,-1.86
6,89.83,143.34,4.83,4,0.68
6,89.29,81.54,4.81,4,-1.46
6,15.13,20.94,4.75,4,-14.65
6,132.30,16.81,4.80,5,-4.88
6,103.97,105.90,4.94,5,-1.56
6,89.83,143.34,4.83,5,-2.93
6,89.29,81.54,4.81,5,-3.03
6,15.13,20.94,4.75,5,-28.81
6,132.30,16.81,4.80,6,-4.49
6,103.97,105.90,4.94,6,-2.15
6,89.83,143.34,4.83,6,-3.03
6,89.29,81.54,4.81,6,-2.64
6,15.13,20.94,4.75,6,-24.22
6,132.30,16.81,4.80,7,2.05
6,103.97,105.90,4.94,7,0.39
6,89.83,143.34,4.83,7,0.68
6,89.29,81.54,4.81,7,0.88
6,15.13,20.94,4.75,7,0.39
7,48.90,47.74,5.29,4,4.69
7,75.88,53.50,5.24,4,5.66
7,65.88,65.62,5.03,4,3.91
7,52.45,33.98,5.30,4,1.76
7,49.01,19.45,5.08,4,-4.39
7,48.90,47.74,5.29,5,-4.20
7,75.88,53.50,5.24,5,-3.12
7,65.88,65.62,5.03,5,-2.93
7,52.45,33.98,5.30,5,-3.91
7,49.01,19.45,5.08,5,-4.59
7,48.90,47.74,5.29,6,-2.64
7,75.88,53.50,5.24,6,-3.81
7,65.88,65.62,5.03,6,-2.54
7,52.45,33.98,5.30,6,-6.15
7,49.01,19.45,5.08,6,-3.91
7,48.90,47.74,5.29,7,1.17
7,75.88,53.50,5.24,7,0.88
7,65.88,65.62,5.03,7,1.07
7,52.45,33.98,5.30,7,3.81
7,49.01,19.45,5.08,7,0.98
4,60.17,19.26,5.10,4,-4.98
4,66.45,69.75,5.24,4,-6.15
4,63.45,108.94,5.03,4,-4.69
4,85.76,53.65,4.90,4,5.18
4,61.72,32.96,5.03,4,9.18
4,21.21,55.71,5.07,4,-22.46
4,74.72,63.07,4.92,4,1.07
4,50.44,85.52,4.97,4,2.34
4,103.37,132.21,4.74,4,-7.13
4,44.05,60.71,4.96,4,-0.49
4,72.59,57.18,4.95,4,5.27
4,36.36,65.65,5.01,4,-9.96
4,6.62,11.78,4.76,4,-3.22
4,31.06,52.91,4.97,4,-2.05
4,60.17,19.26,5.10,4,-2.44
4,66.45,69.75,5.24,4,-4.69
4,63.45,108.94,5.03,4,-5.27
4,85.76,53.65,4.90,4,3.32
4,61.72,32.96,5.03,4,9.67
4,21.21,55.71,5.07,4,-18.85
4,74.72,63.07,4.92,4,3.32
4,50.44,85.52,4.97,4,0.49
4,103.37,132.21,4.74,4,-5.08
4,44.05,60.71,4.96,4,0.39
4,72.59,57.18,4.95,4,-1.27
4,36.36,65.65,5.01,4,-11.43
4,6.62,11.78,4.76,4,0.59
4,31.06,52.91,4.97,4,-3.32
4,60.17,19.26,5.10,5,-6.35
4,66.45,69.75,5.24,5,-7.32
4,63.45,108.94,5.03,5,-4.10
4,85.76,53.65,4.90,5,-16.60
4,61.72,32.96,5.03,5,-5.66
4,21.21,55.71,5.07,5,-14.26
4,74.72,63.07,4.92,5,-9.28
4,50.44,85.52,4.97,5,-12.21
4,103.37,132.21,4.74,5,-11.43
4,44.05,60.71,4.96,5,-7.81
4,72.59,57.18,4.95,5,-11.04
4,36.36,65.65,5.01,5,-10.16
4,6.62,11.78,4.76,5,-21.39
4,31.06,52.91,4.97,5,-15.04
4,60.17,19.26,5.10,6,-5.57
4,66.45,69.75,5.24,6,-6.93
4,63.45,108.94,5.03,6,-4.59
4,85.76,53.65,4.90,6,-16.89
4,61.72,32.96,5.03,6,-4.98
4,21.21,55.71,5.07,6,-12.50
4,74.72,63.07,4.92,6,-6.54
4,50.44,85.52,4.97,6,-12.99
4,103.37,132.21,4.74,6,-10.35
4,44.05,60.71,4.96,6,-6.05
4,72.59,57.18,4.95,6,-11.82
4,36.36,65.65,5.01,6,-11.04
4,6.62,11.78,4.76,6,-22.75
4,31.06,52.91,4.97,6,-14.75
4,60.17,19.26,5.10,7,0.49
4,66.45,69.75,5.24,7,0.78
4,63.45,108.94,5.03,7,0.49
4,85.76,53.65,4.90,7,12.11
4,61.72,32.96,5.03,7,0.59
4,21.21,55.71,5.07,7,0.29
4,74.72,63.07,4.92,7,3.03
4,50.44,85.52,4.97,7,14.55
4,103.37,132.21,4.74,7,3.52
4,44.05,60.71,4.96,7,0.59
4,72.59,57.18,4.95,7,9.86
4,36.36,65.65,5.01,7,1.07
4,6.62,11.78,4.76,7,12.79
4,31.06,52.91,4.97,7,7.23
5,143.83,96.17,4.82,4,-1.27
5,124.97,37.00,4.89,4,9.67
5,142.13,87.41,4.72,4,-8.59
5,66.94,60.60,4.79,4,1.17
5,92.72,31.93,5.02,4,-0.39
5,143.83,96.17,4.82,4,1.76
5,124.97,37.00,4.89,4,8.20
5,142.13,87.41,4.72,4,-8.20
5,66.94,60.60,4.79,4,2.05
5,92.72,31.93,5.02,4,-2.54
5,143.83,96.17,4.82,5,-3.91
5,124.97,37.00,4.89,5,-4.69
5,142.13,87.41,4.72,5,-17.29
5,66.94,60.60,4.79,5,-5.96
5,92.72,31.93,5.02,5,-9.96
5,143.83,96.17,4.82,6,-4.10
5,124.97,37.00,4.89,6,-4.98
5,142.13,87.41,4.72,6,-15.82
5,66.94,60.60,4.79,6,-8.20
5,92.72,31.93,5.02,6,-11.52
5,143.83,96.17,4.82,7,1.66
5,124.97,37.00,4.89,7,3.22
5,142.13,87.41,4.72,7,3.22
5,66.94,60.60,4.79,7,4.79
5,92.72,31.93,5.02,7,5.66
6,113.41,16.81,4.80,4,-4.59
6,106.75,126.18,4.94,4,-3.22
6,98.34,139.47,4.83,4,2.15
6,70.39,74.43,4.81,4,0.88
6,15.13,5.77,4.75,4,-17.87
6,113.41,16.81,4.80,4,-4.39
6,106.75,126.18,4.94,4,-0.10
6,98.34,139.47,4.83,4,0.29
6,70.39,74.43,4.81,4,0.98
6,15.13,5.77,4.75,4,-3.71
6,113.41,16.81,4.80,5,-5.47
6,106.75,126.18,4.94,5,-2.05
6,98.34,139.47,4.83,5,-3.22
6,70.39,74.43,4.81,5,-3.71
6,15.13,5.77,4.75,5,-17.38
6,113.41,16.81,4.80,6,-4.00
6,106.75,126.18,4.94,6,-1.95
6,98.34,139.47,4.83,6,-2.64
6,70.39,74.43,4.81,6,-4.69
6,15.13,5.77,4.75,6,-22.66
6,113.41,16.81,4.80,7,2.64
6,106.75,126.18,4.94,7,0.29
6,98.34,139.47,4.83,7,0.78
6,70.39,74.43,4.81,7,0.88
6,15.13,5.77,4.75,7,0.10
7,50.32,53.02,5.29,4,2.54
7,73.73,56.56,5.24,4,2.83
7,67.89,73.08,5.03,4,2.54
7,47.33,28.04,5.30,4,0.39
7,32.95,28.17,5.08,4,-3.03
7,50.32,53.02,5.29,4,1.86
7,73.73,56.56,5.24,4,5.47
7,67.89,73.08,5.03,4,4.30
7,47.33,28.04,5.30,4,1.76
7,32.95,28.17,5.08,4,-4.20
7,50.32,53.02,5.29,5,-3.91
7,73.73,56.56,5.24,5,-5.86
7,67.89,73.08,5.03,5,-2.73
7,47.33,28.04,5.30,5,-4.98
7,32.95,28.17,5.08,5,-5.66
7,50.32,53.02,5.29,6,-3.71
7,73.73,56.56,5.24,6,-5.08
7,67.89,73.08,5.03,6,-3.42
7,47.33,28.04,5.30,6,-6.54
7,32.95,28.17,5.08,6,-5.47
7,50.32,53.02,5.29,7,1.07
7,73.73,56.56,5.24,7,0.59
7,67.89,73.08,5.03,7,1.07
7,47.33,28.04,5.30,7,3.71
7,32.95,28.17,5.08,7,0.59
4,60.17,16.84,5.10,4,-2.05
4,65.92,75.41,5.24,4,-0.59
4,70.48,108.19,5.03,4,-4.10
4,97.47,50.45,4.90,4,4.00
4,59.74,34.52,5.03,4,5.37
4,22.47,54.81,5.07,4,-19.24
4,74.72,8.98,4.92,4,1.07
4,61.96,70.75,4.97,4,7.52
4,82.40,131.78,4.74,4,-7.52
4,40.03,78.56,4.96,4,-3.22
4,78.72,58.40,4.95,4,6.05
4,39.33,85.33,5.01,4,-14.55
4,6.85,10.93,4.76,4,-1.27
4,28.63,57.57,4.97,4,-2.64
4,60.17,16.84,5.10,5,-5.08
4,65.92,75.41,5.24,5,-8.79
4,70.48,108.19,5.03,5,-7.23
4,97.47,50.45,4.90,5,-19.53
4,59.74,34.52,5.03,5,-5.37
4,22.47,54.81,5.07,5,-11.62
4,74.72,8.98,4.92,5,-6.45
4,61.96,70.75,4.97,5,-16.50
4,82.40,131.78,4.74,5,-14.16
4,40.03,78.56,4.96,5,-6.54
4,78.72,58.40,4.95,5,-9.67
4,39.33,85.33,5.01,5,-8.30
4,6.85,10.93,4.76,5,-21.19
4,28.63,57.57,4.97,5,-12.60
4,60.17,16.84,5.10,6,-5.96
4,65.92,75.41,5.24,6,-6.93
4,70.48,108.19,5.03,6,-7.23
4,97.47,50.45,4.90,6,-19.24
4,59.74,34.52,5.03,6,-5.96
4,22.47,54.81,5.07,6,-13.28
4,74.72,8.98,4.92,6,-8.11
4,61.96,70.75,4.97,6,-16.60
4,82.40,131.78,4.74,6,-14.06
4,40.03,78.56,4.96,6,-6.93
4,78.72,58.40,4.95,6,-8.11
4,39.33,85.33,5.01,6,-10.74
4,6.85,10.93,4.76,6,-19.24
4,28.63,57.57,4.97,6,-13.87
4,60.17,16.84,5.10,7,0.20
4,65.92,75.41,5.24,7,0.49
4,70.48,108.19,5.03,7,0.88
4,97.47,50.45,4.90,7,12.21
4,59.74,34.52,5.03,7,0.29
4,22.47,54.81,5.07,7,0.00
4,74.72,8.98,4.92,7,4.79
4,61.96,70.75,4.97,7,15.62
4,82.40,131.78,4.74,7,6.64
4,40.03,78.56,4.96,7,0.20
4,78.72,58.40,4.95,7,0.59
4,39.33,85.33,5.01,7,0.78
4,6.85,10.93,4.76,7,10.84
4,28.63,57.57,4.97,7,5.96
5,125.89,85.35,4.82,4,0.88
5,140.20,35.15,4.89,4,7.23
5,148.46,125.65,4.72,4,-6.64
5,93.14,81.28,4.79,4,3.22
5,82.79,33.02,5.02,4,-4.39
5,125.89,85.35,4.82,5,-3.32
5,140.20,35.15,4.89,5,-3.22
5,148.46,125.65,4.72,5,-16.50
5,93.14,81.28,4.79,5,-8.50
5,82.79,33.02,5.02,5,-9.96
5,125.89,85.35,4.82,6,-4.10
5,140.20,35.15,4.89,6,-4.59
5,148.46,125.65,4.72,6,-15.43
5,93.14,81.28,4.79,6,-7.42
5,82.79,33.02,5.02,6,-11.13
5,125.89,85.35,4.82,7,1.95
5,140.20,35.15,4.89,7,2.34
5,148.46,125.65,4.72,7,1.17
5,93.14,81.28,4.79,7,3.91
5,82.79,33.02,5.02,7,3.32
6,93.81,16.81,4.80,4,-8.20
6,120.16,115.75,4.94,4,1.37
6,74.12,96.77,4.83,4,-1.27
6,76.53,75.39,4.81,4,-0.59
6,15.13,17.80,4.75,4,-0.39
6,93.81,16.81,4.80,5,-5.37
6,120.16,115.75,4.94,5,-3.12
6,74.12,96.77,4.83,5,-3.32
6,76.53,75.39,4.81,5,-3.52
6,15.13,17.80,4.75,5,-3.22
6,93.81,16.81,4.80,6,-3.71
6,120.16,115.75,4.94,6,-1.66
6,74.12,96.77,4.83,6,-2.73
6,76.53,75.39,4.81,6,-4.10
6,15.13,17.80,4.75,6,-2.34
6,93.81,16.81,4.80,7,3.61
6,120.16,115.75,4.94,7,0.29
6,74.12,96.77,4.83,7,0.49
6,76.53,75.39,4.81,7,0.59
6,15.13,17.80,4.75,7,2.15
7,43.80,46.78,5.29,4,3.91
7,73.73,42.97,5.24,4,6.54
7,72.35,69.95,5.03,4,3.61
7,52.24,30.13,5.30,4,1.66
7,32.95,27.18,5.08,4,-5.66
7,43.80,46.78,5.29,5,-3.42
7,73.73,42.97,5.24,5,-2.93
7,72.35,69.95,5.03,5,-3.61
7,52.24,30.13,5.30,5,-7.71
7,32.95,27.18,5.08,5,-3.61
7,43.80,46.78,5.29,6,-3.03
7,73.73,42.97,5.24,6,-3.42
7,72.35,69.95,5.03,6,-2.93
7,52.24,30.13,5.30,6,-8.69
7,32.95,27.18,5.08,6,-5.37
7,43.80,46.78,5.29,7,1.56
7,73.73,42.97,5.24,7,0.59
7,72.35,69.95,5.03,7,0.59
7,52.24,30.13,5.30,7,6.05
7,32.95,27.18,5.08,7,0.68
4,64.84,16.84,5.10,4,-2.34
4,68.20,84.09,5.24,4,0.39
4,86.85,148.61,5.03,4,-7.52
4,97.29,58.88,4.90,4,5.08
4,59.90,34.78,5.03,4,8.11
4,19.57,52.77,5.07,4,-19.43
4,64.52,66.85,4.92,4,-5.18
4,55.94,89.16,4.97,4,10.74
4,78.31,136.93,4.74,4,-6.35
4,41.84,66.52,4.96,4,-5.27
4,69.61,64.23,4.95,4,4.49
4,39.26,79.50,5.01,4,-12.11
4,5.69,8.67,4.76,4,-3.52
4,20.38,54.47,4.97,4,-1.66
4,64.84,16.84,5.10,4,-4.88
4,68.20,84.09,5.24,4,-3.12
4,86.85,148.61,5.03,4,-3.91
4,97.29,58.88,4.90,4,2.73
4,59.90,34.78,5.03,4,10.06
4,19.57,52.77,5.07,4,-16.60
4,64.52,66.85,4.92,4,-3.81
4,55.94,89.16,4.97,4,14.94
4,78.31,136.93,4.74,4,-7.42
4,41.84,66.52,4.96,4,-0.39
4,69.61,64.23,4.95,4,6.15
4,39.26,79.50,5.01,4,-8.01
4,5.69,8.67,4.76,4,-5.18
4,20.38,54.47,4.97,4,-2.05
4,64.84,16.84,5.10,4,-1.95
4,68.20,84.09,5.24,4,-3.52
4,86.85,148.61,5.03,4,-1.95
4,97.29,58.88,4.90,4,5.08
4,59.90,34.78,5.03,4,10.25
4,19.57,52.77,5.07,4,-19.24
4,64.52,66.85,4.92,4,-4.88
4,55.94,89.16,4.97,4,0.10
4,78.31,136.93,4.74,4,-8.59
4,41.84,66.52,4.96,4,-1.95
4,69.61,64.23,4.95,4,5.08
4,39.26,79.50,5.01,4,-9.77
4,5.69,8.67,4.76,4,-5.47
4,20.38,54.47,4.97,4,-3.91
4,64.84,16.84,5.10,4,-4.59
4,68.20,84.09,5.24,4,-2.34
4,86.85,148.61,5.03,4,-2.44
4,97.29,58.88,4.90,4,2.83
4,59.90,34.78,5.03,4,5.37
4,19.57,52.77,5.07,4,-18.75
4,64.52,66.85,4.92,4,4.98
4,55.94,89.16,4.97,4,4.88
4,78.31,136.93,4.74,4,-5.86
4,41.84,66.52,4.96,4,-1.76
4,69.61,64.23,4.95,4,3.81
4,39.26,79.50,5.01,4,-12.89
4,5.69,8.67,4.76,4,-4.39
4,20.38,54.47,4.97,4,-1.86
4,64.84,16.84,5.10,4,-4.79
4,68.20,84.09,5.24,4,-3.52
4,86.85,148.61,5.03,4,-1.86
4,97.29,58.88,4.90,4,5.57
4,59.90,34.78,5.03,4,5.66
4,19.57,52.77,5.07,4,-20.70
4,64.52,66.85,4.92,4,-3.03
4,55.94,89.16,4.97,4,5.96
4,78.31,136.93,4.74,4,-9.18
4,41.84,66.52,4.96,4,-2.93
4,69.61,64.23,4.95,4,1.86
4,39.26,79.50,5.01,4,-13.87
4,5.69,8.67,4.76,4,-2.34
4,20.38,54.47,4.97,4,-1.95
4,64.84,16.84,5.10,4,-2.83
4,68.20,84.09,5.24,4,-1.76
4,86.85,148.61,5.03,4,-2.25
4,97.29,58.88,4.90,4,5.27
4,59.90,34.78,5.03,4,7.32
4,19.57,52.77,5.07,4,-20.31
4,64.52,66.85,4.92,4,-3.42
4,55.94,89.16,4.97,4,11.13
4,78.31,136.93,4.74,4,-6.64
4,41.84,66.52,4.96,4,-1.95
4,69.61,64.23,4.95,4,6.54
4,39.26,79.50,5.01,4,-12.70
4,5.69,8.67,4.76,4,-1.76
4,20.38,54.47,4.97,4,-1.46
4,64.84,16.84,5.10,5,-5.47
4,68.20,84.09,5.24,5,-8.01
4,86.85,148.61,5.03,5,-3.81
4,97.29,58.88,4.90,5,-17.68
4,59.90,34.78,5.03,5,-4.00
4,19.57,52.77,5.07,5,-14.84
4,64.52,66.85,4.92,5,-9.67
4,55.94,89.16,4.97,5,-4.98
4,78.31,136.93,4.74,5,-13.57
4,41.84,66.52,4.96,5,-8.50
4,69.61,64.23,4.95,5,-9.77
4,39.26,79.50,5.01,5,-8.30
4,5.69,8.67,4.76,5,-26.27
4,20.38,54.47,4.97,5,-14.16
4,64.84,16.84,5.10,5,-5.37
4,68.20,84.09,5.24,5,-10.16
4,86.85,148.61,5.03,5,-6.15
4,97.29,58.88,4.90,5,-13.96
4,59.90,34.78,5.03,5,-5.66
4,19.57,52.77,5.07,5,-15.33
4,64.52,66.85,4.92,5,-9.28
4,55.94,89.16,4.97,5,-5.86
4,78.31,136.93,4.74,5,-18.75
4,41.84,66.52,4.96,5,-7.23
4,69.61,64.23,4.95,5,-11.04
4,39.26,79.50,5.01,5,-10.45
4,5.69,8.67,4.76,5,-28.22
4,20.38,54.47,4.97,5,-14.65
4,64.84,16.84,5.10,6,-4.79
4,68.20,84.09,5.24,6,-8.40
4,86.85,148.61,5.03,6,-4.69
4,97.29,58.88,4.90,6,-19.24
4,59.90,34.78,5.03,6,-4.69
4,19.57,52.77,5.07,6,-11.33
4,64.52,66.85,4.92,6,-9.47
4,55.94,89.16,4.97,6,-5.08
4,78.31,136.93,4.74,6,-14.06
4,41.84,66.52,4.96,6,-8.59
4,69.61,64.23,4.95,6,-5.66
4,39.26,79.50,5.01,6,-10.16
4,5.69,8.67,4.76,6,-24.12
4,20.38,54.47,4.97,6,-15.04
4,64.84,16.84,5.10,6,-4.49
4,68.20,84.09,5.24,6,-5.66
4,86.85,148.61,5.03,6,-5.86
4,97.29,58.88,4.90,6,-15.04
4,59.90,34.78,5.03,6,-5.08
4,19.57,52.77,5.07,6,-13.87
4,64.52,66.85,4.92,6,-8.30
4,55.94,89.16,4.97,6,-7.62
4,78.31,136.93,4.74,6,-13.38
4,41.84,66.52,4.96,6,-6.05
4,69.61,64.23,4.95,6,-8.59
4,39.26,79.50,5.01,6,-9.28
4,5.69,8.67,4.76,6,-26.95
4,20.38,54.47,4.97,6,-14.55
4,64.84,16.84,5.10,7,0.20
4,68.20,84.09,5.24,7,0.59
4,86.85,148.61,5.03,7,0.98
4,97.29,58.88,4.90,7,15.23
4,59.90,34.78,5.03,7,0.59
4,19.57,52.77,5.07,7,0.20
4,64.52,66.85,4.92,7,0.20
4,55.94,89.16,4.97,7,3.91
4,78.31,136.93,4.74,7,3.42
4,41.84,66.52,4.96,7,1.17
4,69.61,64.23,4.95,7,0.88
4,39.26,79.50,5.01,7,0.78
4,5.69,8.67,4.76,7,13.67
4,20.38,54.47,4.97,7,7.13
4,64.84,16.84,5.10,7,0.39
4,68.20,84.09,5.24,7,0.49
4,86.85,148.61,5.03,7,0.88
4,97.29,58.88,4.90,7,13.67
4,59.90,34.78,5.03,7,0.29
4,19.57,52.77,5.07,7,0.29
4,64.52,66.85,4.92,7,1.66
4,55.94,89.16,4.97,7,3.61
4,78.31,136.93,4.74,7,4.10
4,41.84,66.52,4.96,7,0.00
4,69.61,64.23,4.95,7,0.98
4,39.26,79.50,5.01,7,1.27
4,5.69,8.67,4.76,7,17.09
4,20.38,54.47,4.97,7,5.18
0,120.03,125.17,4.97,4,-1.17
0,120.03,125.17,4.97,4,-0.39
0,120.03,125.17,4.97,4,-0.59
0,120.03,125.17,4.97,4,-6.45
0,120.03,125.17,4.97,4,-1.86
0,120.03,125.17,4.97,5,-13.38
0,120.03,125.17,4.97,6,-12.11
0,120.03,125.17,4.97,7,2.54
1,94.11,41.45,4.64,4,-1.95
1,89.53,73.16,4.72,4,-1.95
1,87.42,109.11,4.76,4,-5.76
1,96.60,111.46,4.69,4,-9.57
1,89.94,42.22,4.92,4,-11.33
1,94.11,41.45,4.64,4,-3.42
1,89.53,73.16,4.72,4,-4.30
1,87.42,109.11,4.76,4,-4.79
1,96.60,111.46,4.69,4,-11.91
1,89.94,42.22,4.92,4,-11.33
1,94.11,41.45,4.64,4,-0.68
1,89.53,73.16,4.72,4,-4.98
1,87.42,109.11,4.76,4,-4.79
1,96.60,111.46,4.69,4,-8.59
1,89.94,42.22,4.92,4,-12.70
1,94.11,41.45,4.64,4,-3.61
1,89.53,73.16,4.72,4,-4.10
1,87.42,109.11,4.76,4,-3.22
1,96.60,111.46,4.69,4,-9.86
1,89.94,42.22,4.92,4,-11.04
1,94.11,41.45,4.64,4,-0.20
1,89.53,73.16,4.72,4,-1.95
1,87.42,109.11,4.76,4,-1.66
1,96.60,111.46,4.69,4,-9.28
1,89.94,42.22,4.92,4,-13.38
1,94.11,41.45,4.64,5,-11.23
1,89.53,73.16,4.72,5,-15.33
1,87.42,109.11,4.76,5,-8.59
1,96.60,111.46,4.69,5,-8.20
1,89.94,42.22,4.92,5,-6.05
1,94.11,41.45,4.64,5,-9.86
1,89.53,73.16,4.72,5,-15.33
1,87.42,109.11,4.76,5,-5.08
1,96.60,111.46,4.69,5,-5.47
1,89.94,42.22,4.92,5,-5.47
1,94.11,41.45,4.64,6,-12.21
1,89.53,73.16,4.72,6,-15.82
1,87.42,109.11,4.76,6,-9.18
1,96.60,111.46,4.69,6,-7.81
1,89.94,42.22,4.92,6,-5.66
1,94.11,41.45,4.64,6,-8.79
1,89.53,73.16,4.72,6,-13.28
1,87.42,109.11,4.76,6,-5.27
1,96.60,111.46,4.69,6,-9.57
1,89.94,42.22,4.92,6,-5.08
1,94.11,41.45,4.64,7,4.49
1,89.53,73.16,4.72,7,2.73
1,87.42,109.11,4.76,7,0.98
1,96.60,111.46,4.69,7,2.34
1,89.94,42.22,4.92,7,2.05
1,94.11,41.45,4.64,7,4.69
1,89.53,73.16,4.72,7,3.03
1,87.42,109.11,4.76,7,2.05
1,96.60,111.46,4.69,7,4.49
1,89.94,42.22,4.92,7,2.93
2,100.71,188.68,4.50,4,2.15
2,92.05,101.98,4.69,4,4.98
2,122.66,198.71,4.66,4,-8.79
2,83.51,116.81,4.65,4,1.86
2,130.69,191.50,4.61,4,-1.95
2,100.71,188.68,4.50,4,3.61
2,92.05,101.98,4.69,4,2.83
2,122.66,198.71,4.66,4,-3.52
2,83.51,116.81,4.65,4,2.15
2,130.69,191.50,4.61,4,0.88
2,100.71,188.68,4.50,4,3.42
2,92.05,101.98,4.69,4,4.10
2,122.66,198.71,4.66,4,0.59
2,83.51,116.81,4.65,4,2.05
2,130.69,191.50,4.61,4,2.83
2,100.71,188.68,4.50,4,2.83
2,92.05,101.98,4.69,4,5.08
2,122.66,198.71,4.66,4,0.68
2,83.51,116.81,4.65,4,2.83
2,130.69,191.50,4.61,4,1.95
2,100.71,188.68,4.50,4,0.39
2,92.05,101.98,4.69,4,3.61
2,122.66,198.71,4.66,4,-2.34
2,83.51,116.81,4.65,4,4.39
2,130.69,191.50,4.61,4,1.37
2,100.71,188.68,4.50,5,-7.23
2,92.05,101.98,4.69,5,-4.79
2,122.66,198.71,4.66,5,-10.45
2,83.51,116.81,4.65,5,-7.52
2,130.69,191.50,4.61,5,-27.83
2,100.71,188.68,4.50,5,-14.45
2,92.05,101.98,4.69,5,-4.98
2,122.66,198.71,4.66,5,-4.10
2,83.51,116.81,4.65,5,-6.45
2,130.69,191.50,4.61,5,-27.93
2,100.71,188.68,4.50,6,-4.00
2,92.05,101.98,4.69,6,-5.08
2,122.66,198.71,4.66,6,-7.71
2,83.51,116.81,4.65,6,-5.66
2,130.69,191.50,4.61,6,-28.32
2,100.71,188.68,4.50,6,-4.30
2,92.05,101.98,4.69,6,-5.47
2,122.66,198.71,4.66,6,-8.50
2,83.51,116.81,4.65,6,-4.69
2,130.69,191.50,4.61,6,-31.25
2,100.71,188.68,4.50,7,5.47
2,92.05,101.98,4.69,7,1.86
2,122.66,198.71,4.66,7,0.88
2,83.51,116.81,4.65,7,1.56
2,130.69,191.50,4.61,7,21.48
5,107.90,81.14,4.82,4,-1.95
5,68.99,35.16,4.89,4,8.98
5,135.52,87.30,4.72,4,-1.37
5,95.65,74.50,4.79,4,-3.42
5,102.93,37.26,5.02,4,-2.25
5,107.90,81.14,4.82,4,1.37
5,68.99,35.16,4.89,4,8.98
5,135.52,87.30,4.72,4,0.59
5,95.65,74.50,4.79,4,2.73
5,102.93,37.26,5.02,4,0.78
5,107.90,81.14,4.82,4,-2.05
5,68.99,35.16,4.89,4,7.91
5,135.52,87.30,4.72,4,-0.59
5,95.65,74.50,4.79,4,2.34
5,102.93,37.26,5.02,4,-3.12
